quarter,steel,aluminium,copper
2018-Q1,498,2108,7051
2018-Q2,549,2246,6802
2018-Q3,538,2042,6102
2018-Q4,491,1889,6082
2019-Q1,465,1838,6102
2019-Q2,441,1785,5991
2019-Q3,408,1728,5781
2019-Q4,398,1781,5941
2020-Q1,382,1711,5738
2020-Q2,364,1462,5281
2020-Q3,441,1798,6622
2020-Q4,492,2019,7552
2021-Q1,564,2092,8562
2021-Q2,661,2451,9481
2021-Q3,619,2681,9382
2021-Q4,638,2788,9622
2022-Q1,718,3251,10102
2022-Q2,692,2798,8972
2022-Q3,541,2312,7682
2022-Q4,499,2362,8302
2023-Q1,508,2391,8872
2023-Q2,499,2281,8432
2023-Q3,488,2181,8261
2023-Q4,449,2161,8502
2024-Q1,438,2212,8522
2024-Q2,432,2538,9812
2024-Q3,419,2362,9182
2024-Q4,408,2251,9052
