quarter,suprajit,gabriel,endurance,sundram
2018-Q1,16.5,9.2,18.5,20.5
2018-Q2,17.2,10.1,19.2,21.2
2018-Q3,16.8,9.5,18.2,20.1
2018-Q4,15.5,8.2,17.1,18.9
2019-Q1,15.2,7.8,16.5,18.4
2019-Q2,14.8,7.4,15.8,17.6
2019-Q3,15.1,7.9,16.2,18.1
2019-Q4,14.3,7.2,15.5,17.2
2020-Q1,13.8,6.8,15.1,16.1
2020-Q2,9.5,3.5,9.8,10.8
2020-Q3,14.2,8.2,16.5,17.5
2020-Q4,15.3,9.1,18.2,19.2
2021-Q1,14.5,8.3,17.5,19.5
2021-Q2,14.2,8.5,18.5,20.5
2021-Q3,11.8,5.9,14.8,17.1
2021-Q4,11.5,5.1,13.5,15.5
2022-Q1,9.8,4.8,12.8,14.2
2022-Q2,9.4,4.2,11.9,13.5
2022-Q3,11.2,6.1,14.2,15.8
2022-Q4,12.5,7.3,15.8,17.2
2023-Q1,13.2,8.1,16.5,18.5
2023-Q2,14.4,9.2,17.8,19.8
2023-Q3,14.8,9.8,18.1,20.5
2023-Q4,15.2,10.1,18.5,21.2
2024-Q1,15.8,10.5,19.1,21.8
2024-Q2,15.5,10.2,18.5,21.2
2024-Q3,16.2,10.8,19.2,21.9
2024-Q4,16.5,11.2,19.8,22.3
