quarter,suprajit,gabriel,endurance,sundram
2018-Q1,378,391,521,339
2018-Q2,412,422,558,366
2018-Q3,396,411,547,356
2018-Q4,389,401,541,351
2019-Q1,402,413,556,356
2019-Q2,417,431,576,371
2019-Q3,405,421,562,362
2019-Q4,421,436,581,376
2020-Q1,411,432,581,381
2020-Q2,198,208,291,188
2020-Q3,381,398,541,351
2020-Q4,432,451,612,401
2021-Q1,442,466,626,416
2021-Q2,492,512,692,461
2021-Q3,481,501,677,451
2021-Q4,512,527,712,476
2022-Q1,548,562,762,508
2022-Q2,582,593,802,537
2022-Q3,571,581,788,527
2022-Q4,597,602,812,547
2023-Q1,622,612,822,557
2023-Q2,641,626,847,577
2023-Q3,652,637,857,587
2023-Q4,662,647,872,597
2024-Q1,672,652,882,602
2024-Q2,687,667,902,617
2024-Q3,692,672,912,622
2024-Q4,697,681,921,629
